unique_id,id,date,year,season,site,species,sex,mass,svl,cort_bl,cort_ps,cort_react,bka_bl,bka_ps,bka_react,test,old_bodycon,mean_temp
1,36,10/21/11,2011,Fall,RP,ELE,female,72,475,46.48,45.904,-0.576,9.417304297,3.237198352,-6.180105945,NA,3.124682501,10.74074074
2,52,10/10/11,2011,Fall,AD,ELE,male,91,530,25.291,28.858,3.567,7.35892961,7.35892961,0,148.456,42.04974461,8.333333333
3,58,10/9/11,2011,Fall,RP,ELE,male,81,510,28.767,81.157,52.39,22.45787333,6.275421267,-16.18245206,202.135,30.51023824,6.388888889
4,79,10/9/11,2011,Fall,RP,ELE,female,118,560,32.468,44.161,11.693,5.578152237,3.602556653,-1.975595584,NA,49.20641182,6.388888889
5,200,10/10/11,2011,Fall,AD,ELE,female,129,600,8.612,12.439,3.827,5.759162304,6.835369401,1.076207097,NA,79.89986883,8.333333333
6,271,10/9/11,2011,Fall,RP,ELE,male,42,392,81.717,127.499,45.782,100,11.18535735,-88.81464265,0.119,-54.49383662,6.388888889
7,371,9/14/11,2011,Fall,RP,ELE,female,43,370,4.676,26.271,21.595,31.57739847,12.00706298,-19.57033549,NA,-77.33988598,18.14814815
8,372,9/14/11,2011,Fall,RP,ELE,male,82,571,10.386,131.004,120.618,9.064155386,6.150676869,-2.913478517,23.004,90.66418887,18.14814815
9,396,9/26/11,2011,Fall,RP,ELE,male,51,432,12.883,37.596,24.713,9.976456739,18.39317245,8.416715711,24.352,-22.10828088,19.53703704
10,397,9/26/11,2011,Fall,RP,ELE,male,88,530,8.254,29.047,20.793,7.239552678,10.62389641,3.384343732,25.829,44.5878927,19.53703704
11,400,9/26/11,2011,Fall,RP,ELE,male,75,482,9.897,22.747,12.85,52.76633314,58.94643908,6.18010594,105.887,7.586534413,19.53703704
12,401,9/26/11,2011,Fall,RP,ELE,female,132,624,24.164,35.821,11.657,30.98881695,5.56209535,-25.4267216,NA,101.3617207,19.53703704
13,403,9/26/11,2011,Fall,RP,ELE,male,70,492,27.208,66.742,39.534,6.886403767,11.44791054,4.561506773,150.421,21.81678123,19.53703704
14,410,10/9/11,2011,Fall,RP,ELE,female,102,570,49.418,92.738,43.32,5.40383498,6.449738524,1.045903544,NA,72.74320162,6.388888889
15,411,10/9/11,2011,Fall,RP,ELE,male,75,465,24.991,39.73,14.739,50.81348053,12.31841952,-38.49506101,96.562,-9.413465587,6.388888889
16,412,10/9/11,2011,Fall,RP,ELE,male,84,510,28.094,64.476,36.382,14.46833236,6.769320163,-7.699012197,NA,27.97209015,6.388888889
17,414,10/9/11,2011,Fall,RP,ELE,female,101,515,NA,41.092,NA,25.04357931,8.280069727,-16.76350958,NA,18.58925098,6.388888889
18,417,10/9/11,2011,Fall,RP,ELE,female,121,540,66.516,79.341,12.825,8.483439861,4.93898896,-3.544450901,NA,26.66826373,6.388888889
19,418,10/9/11,2011,Fall,RP,ELE,female,104,572,39.035,70.924,31.889,4.445090064,27.89076119,23.44567113,NA,73.05110289,6.388888889
20,419,10/9/11,2011,Fall,RP,ELE,male,88,500,25.074,53.986,28.912,9.587449157,10.16850668,0.581057523,93.738,14.5878927,6.388888889
21,426,10/10/11,2011,Fall,AD,ELE,male,45,425,12.654,92.336,79.682,3.984874927,7.940663176,3.955788249,99.443,-24.03198471,8.333333333
22,427,10/10/11,2011,Fall,AD,ELE,female,83,510,37.683,31.213,-6.47,20.59336824,100,79.40663176,NA,28.81813951,8.333333333
23,429,10/10/11,2011,Fall,AD,ELE,female,116,585,5.399,10.105,4.706,3.490401396,7.155322862,3.664921466,NA,75.89851054,8.333333333
24,433,10/12/11,2011,Fall,RP,ELE,female,85,475,71.009,71.863,0.854,30.48852266,10.15303119,-20.33549147,NA,-7.873959214,9.722222222
25,436,10/12/11,2011,Fall,RP,ELE,female,77,530,81.521,NA,NA,16.86286051,NA,NA,NA,53.89443569,9.722222222
26,4330,10/12/11,2011,Fall,RP,ELE,female,36,371,41.333,NA,NA,13.74337846,NA,NA,NA,-70.41754044,9.722222222
27,5001,10/14/11,2011,Fall,AD,ELE,male,75,473,14.864,458.824,443.96,2.501454334,35.95113438,33.44968005,97.352,-1.413465587,12.40740741
28,57,4/20/11,2011,Spring,RP,ELE,male,75,485,69.996,148.336,78.34,5.385818362,2.963725827,-2.422092535,3.978,10.58653441,4.074074072
29,58,4/20/11,2011,Spring,RP,ELE,male,70,498,9.722,13.5,3.778,4.108021513,14.46389747,10.35587596,72.851,27.81678123,4.074074072
30,64,4/20/11,2011,Spring,RP,ELE,male,45,424,6.857,18.807,11.95,7.903268871,4.375023839,-3.528245032,47.614,-25.03198471,4.074074072
31,66,4/20/11,2011,Spring,RP,ELE,male,73,482,23.825,25.081,1.256,2.563222337,41.16413014,38.6009078,63.268,9.278633138,4.074074072
32,68,4/21/11,2011,Spring,RP,ELE,male,77,475,58.758,75.114,16.356,6.708475865,18.81413911,12.10566325,45.543,-1.105564313,5.740740739
33,69,4/21/11,2011,Spring,RP,ELE,male,59,441,42.547,50.088,7.541,11.68757127,18.01596351,6.32839224,17.741,-19.87667578,5.740740739
34,70,4/22/11,2011,Spring,RP,ELE,male,54,484,5.514,16.046,10.532,13.12888584,14.27318152,1.14429568,NA,27.35357103,4.166666667
35,71,4/22/11,2011,Spring,RP,ELE,male,94,522,54.289,NA,NA,2.677651905,0,-2.677651905,33.639,31.51159652,4.166666667
36,72,4/22/11,2011,Spring,RP,ELE,male,76,500,23.341,67.643,44.302,2.544150742,4.413167029,1.869016287,75,24.74048505,4.166666667
37,75,4/22/11,2011,Spring,RP,ELE,male,59,456,23.92,48.483,24.563,15.45039909,11.72557963,-3.72481946,79.305,-4.876675784,4.166666667
38,76,4/22/11,2011,Spring,RP,ELE,male,57,575,55.624,97.414,41.79,NA,NA,NA,14.803,115.8154229,4.166666667
39,80,4/22/11,2011,Spring,RP,ELE,male,80,494,23.546,33.44,9.894,24.61041429,19.61231471,-4.99809958,51.552,15.3562876,4.166666667
40,81,4/22/11,2011,Spring,RP,ELE,male,82,494,75.085,154.133,79.048,6.119346256,5.264158115,-0.855188141,17.435,13.66418887,4.166666667
